survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,family_size
0,2,male,0.32906373894480023,1,0,0.014151057562208049,S,Third,man,True,Unknown,Southampton,no,False,2
1,0,female,0.5730405611466911,1,0,0.13913573538264068,C,First,woman,False,C,Cherbourg,yes,False,2
1,2,female,0.3900579444952729,0,0,0.015468569817999833,S,Third,woman,False,Unknown,Southampton,yes,True,1
1,0,female,0.5272949069838365,1,0,0.10364429745562033,S,First,woman,False,C,Southampton,yes,False,2
0,2,male,0.5272949069838365,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.01650950209357577,Q,Third,man,True,Unknown,Queenstown,no,True,1
0,0,male,0.8170173833485819,0,0,0.10122885832000206,S,First,man,True,E,Southampton,no,True,1
0,2,male,0.02409271119243672,3,1,0.04113566043083236,S,Third,child,False,Unknown,Southampton,no,False,5
1,2,female,0.4053064958828911,0,2,0.021730754366528396,S,Third,woman,False,Unknown,Southampton,yes,False,3
1,1,female,0.20707532784385485,1,0,0.058694292654020104,C,Second,child,False,Unknown,Cherbourg,yes,False,2
1,2,female,0.05458981396767307,1,1,0.03259622914329302,S,Third,child,False,G,Southampton,yes,False,3
1,0,female,0.8780115888990546,0,0,0.051822148727810165,S,First,woman,False,C,Southampton,yes,True,1
0,2,male,0.29856663616956386,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.5882891125343093,1,5,0.06104473451835265,S,Third,man,True,Unknown,Southampton,no,False,7
0,2,female,0.20707532784385485,0,0,0.015330377421392339,S,Third,child,False,Unknown,Southampton,no,True,1
1,1,female,0.8322659347362001,0,0,0.03122992013728673,S,Second,woman,False,Unknown,Southampton,yes,True,1
0,2,male,0.02409271119243672,4,1,0.05684821399990475,Q,Third,child,False,Unknown,Queenstown,no,False,6
1,1,male,0.4205550472705093,0,0,0.025374310111545468,S,Second,man,True,Unknown,Southampton,yes,True,1
0,2,female,0.46630070143336383,1,0,0.03513366015444757,S,Third,woman,False,Unknown,Southampton,no,False,2
1,2,female,0.4205550472705093,0,0,0.014102260811993537,C,Third,woman,False,Unknown,Cherbourg,yes,True,1
0,1,male,0.5272949069838365,0,0,0.050748620223090936,S,Second,man,True,Unknown,Southampton,no,True,1
1,1,male,0.5120463555962184,0,0,0.025374310111545468,S,Second,man,True,D,Southampton,yes,True,1
1,2,female,0.222323879231473,0,0,0.015671954672893913,Q,Third,child,False,Unknown,Queenstown,yes,True,1
1,0,male,0.4205550472705093,0,0,0.06929138530460494,S,First,man,True,A,Southampton,yes,True,1
0,2,female,0.11558401951814577,3,1,0.04113566043083236,S,Third,child,False,Unknown,Southampton,no,False,5
1,2,female,0.5730405611466911,1,5,0.06126431989431795,S,Third,woman,False,Unknown,Southampton,yes,False,7
0,2,male,0.4205550472705093,0,0,0.014102260811993537,C,Third,man,True,Unknown,Cherbourg,no,True,1
0,0,male,0.2833180847819457,3,2,0.5133418122566507,S,First,man,True,C,Southampton,no,False,6
1,2,female,0.4205550472705093,0,0,0.01537917417160685,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,2,male,0.4205550472705093,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.6035376639219274,0,0,0.05410739813385612,C,First,man,True,Unknown,Cherbourg,no,True,1
1,0,female,0.4205550472705093,1,0,0.2859895551532101,C,First,woman,False,B,Cherbourg,yes,False,2
1,2,female,0.4205550472705093,0,0,0.015126992566498259,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,1,male,1.0,0,0,0.020494635090094415,S,Second,man,True,Unknown,Southampton,no,True,1
0,0,male,0.4205550472705093,1,0,0.16038672010106003,C,First,man,True,Unknown,Cherbourg,no,False,2
0,0,male,0.6340347666971639,1,0,0.10149724044618187,S,First,man,True,Unknown,Southampton,no,False,2
1,2,male,0.4205550472705093,0,0,0.014110458666029575,C,Third,man,True,Unknown,Cherbourg,yes,True,1
0,2,male,0.3138151875571821,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,female,0.26806953339432754,2,0,0.03513366015444757,S,Third,woman,False,Unknown,Southampton,no,False,3
1,2,female,0.20707532784385485,1,0,0.021942337075458514,C,Third,child,False,Unknown,Cherbourg,yes,False,2
0,2,female,0.6035376639219274,1,0,0.018493968331299484,S,Third,woman,False,Unknown,Southampton,no,False,2
0,1,female,0.4053064958828911,1,0,0.04098927018018883,S,Second,woman,False,Unknown,Southampton,no,False,2
0,2,male,0.4205550472705093,0,0,0.015411575213749286,C,Third,man,True,Unknown,Cherbourg,no,True,1
1,1,female,0.039341262580054895,1,2,0.08115719346076702,C,Second,child,False,Unknown,Cherbourg,yes,False,4
1,2,female,0.2833180847819457,0,0,0.01537917417160685,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,2,male,0.4205550472705093,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,1,0,0.030253985132996517,Q,Third,man,True,Unknown,Queenstown,no,False,2
1,2,female,0.4205550472705093,0,0,0.015126992566498259,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,2,male,0.4205550472705093,2,0,0.04231498029001666,C,Third,man,True,Unknown,Cherbourg,no,False,3
0,2,female,0.26806953339432754,1,0,0.034743286152731485,S,Third,woman,False,Unknown,Southampton,no,False,2
0,2,male,0.1003354681305276,4,1,0.07746484096553544,S,Third,child,False,Unknown,Southampton,no,False,6
0,2,male,0.3138151875571821,0,0,0.01522458606692728,S,Third,man,True,Unknown,Southampton,no,True,1
1,0,female,0.7407746264104911,1,0,0.1497654242623688,C,First,woman,False,D,Cherbourg,yes,False,2
1,1,female,0.43580359865812746,1,0,0.050748620223090936,S,Second,woman,False,Unknown,Southampton,yes,False,2
0,0,male,0.9847514486123818,0,1,0.1209753416358076,C,First,man,True,B,Cherbourg,no,False,2
1,0,male,0.4205550472705093,0,0,0.06929138530460494,S,First,man,True,C,Southampton,yes,True,1
1,1,female,0.3138151875571821,0,0,0.020494635090094415,S,Second,woman,False,Unknown,Southampton,yes,True,1
0,2,male,0.4281793229643184,0,0,0.014110458666029575,C,Third,man,True,Unknown,Cherbourg,no,True,1
1,1,female,0.06983836535529124,1,2,0.05416439273810667,S,Second,child,False,Unknown,Southampton,yes,False,4
0,2,male,0.16132967368100032,5,2,0.09154270340242172,S,Third,child,False,Unknown,Southampton,no,False,8
0,2,male,0.32906373894480023,0,0,0.014110458666029575,C,Third,man,True,Unknown,Cherbourg,no,True,1
1,0,female,0.5730405611466911,0,0,0.15614960068643363,S,First,woman,False,B,,yes,True,1
0,0,male,0.6797804208600183,1,0,0.16293234896625058,S,First,man,True,C,Southampton,no,False,2
0,2,male,0.05458981396767307,3,2,0.05445717323939373,S,Third,child,False,Unknown,Southampton,no,False,6
0,0,male,0.4205550472705093,0,0,0.05410739813385612,C,First,man,True,Unknown,Cherbourg,no,True,1
1,2,male,0.4205550472705093,1,1,0.029757819776815374,C,Third,man,True,Unknown,Cherbourg,yes,False,3
1,1,female,0.43580359865812746,0,0,0.020494635090094415,S,Second,woman,False,F,Southampton,yes,True,1
0,2,male,0.2833180847819457,0,0,0.015923941091001644,S,Third,man,True,Unknown,Southampton,no,True,1
1,2,female,0.2528209820067093,4,2,0.015468569817999833,S,Third,woman,False,Unknown,Southampton,yes,False,7
0,2,male,0.3900579444952729,2,0,0.016908073949327893,S,Third,man,True,Unknown,Southampton,no,False,3
0,1,male,0.481549252820982,0,0,0.020494635090094415,S,Second,man,True,Unknown,Southampton,no,True,1
0,2,female,0.2375724306190912,5,2,0.09154270340242172,S,Third,woman,False,Unknown,Southampton,no,False,8
0,1,male,0.3138151875571821,0,0,0.1434624456306609,S,Second,man,True,Unknown,Southampton,no,True,1
0,2,male,0.3900579444952729,1,0,0.028212719478023115,C,Third,man,True,Unknown,Cherbourg,no,False,2
1,2,male,0.481549252820982,0,0,0.11027245763075773,S,Third,man,True,Unknown,Southampton,yes,True,1
0,2,male,0.37480939310765476,0,0,0.014931805565640218,S,Third,man,True,F,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
1,1,male,0.006251906068923452,0,2,0.056604230248832196,S,Second,child,False,Unknown,Southampton,yes,False,3
1,2,female,0.4510521500457456,0,0,0.024349578357040744,S,Third,woman,False,Unknown,Southampton,yes,True,1
0,2,male,0.32906373894480023,0,0,0.017566830077223785,S,Third,man,True,Unknown,Southampton,no,True,1
1,2,male,0.43580359865812746,0,0,0.018542765081513996,S,Third,man,True,Unknown,Southampton,yes,True,1
1,2,female,0.4205550472705093,0,0,0.015200187691820024,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,0,male,0.4205550472705093,0,0,0.09193307740413781,S,First,man,True,Unknown,Southampton,no,True,1
1,1,female,0.2528209820067093,0,0,0.020494635090094415,S,Second,woman,False,Unknown,Southampton,yes,True,1
1,2,female,0.49679780420860015,3,0,0.030937139635999665,S,Third,woman,False,Unknown,Southampton,yes,False,4
0,2,male,0.2375724306190912,1,3,0.06709553154495196,S,Third,man,True,Unknown,Southampton,no,False,5
0,2,male,0.4205550472705093,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
1,0,female,0.3443122903324184,3,2,0.5133418122566507,S,First,woman,False,C,Southampton,yes,False,6
0,2,male,0.3595608417200366,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.43580359865812746,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.29856663616956386,0,0,0.015330377421392339,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.6950289722476365,1,0,0.11940564777490723,S,First,man,True,E,Southampton,no,False,2
0,2,male,0.3900579444952729,1,2,0.04015972542654215,S,Third,man,True,Unknown,Southampton,no,False,4
0,2,male,0.8932601402866728,0,0,0.014151057562208049,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
1,0,male,0.3443122903324184,0,1,0.12366716556464086,C,First,man,True,D,Cherbourg,yes,False,2
1,1,female,0.5120463555962184,0,1,0.044893010197349675,S,Second,woman,False,Unknown,Southampton,yes,False,2
0,1,male,0.5120463555962184,1,0,0.050748620223090936,S,Second,man,True,Unknown,Southampton,no,False,2
0,2,female,0.4205550472705093,0,0,0.015411575213749286,S,Third,woman,False,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.3138151875571821,0,1,0.15085515328815924,S,First,man,True,D,Southampton,no,False,2
0,2,male,0.49679780420860015,0,0,0.016891873428256675,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.557792009759073,2,0,0.015468569817999833,S,Third,man,True,Unknown,Southampton,no,False,3
0,2,male,0.4205550472705093,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
1,2,female,0.3138151875571821,0,0,0.014931805565640218,S,Third,woman,False,Unknown,Southampton,yes,True,1
1,2,male,0.4205550472705093,0,0,0.015175789316712771,S,Third,man,True,Unknown,Southampton,yes,True,1
0,2,male,0.5730405611466911,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
1,2,female,0.4205550472705093,1,0,0.04713766070721715,Q,Third,woman,False,Unknown,Queenstown,yes,False,2
0,0,male,0.7102775236352546,0,0,0.10149724044618187,S,First,man,True,C,Southampton,no,True,1
0,2,female,0.21469960353766393,1,0,0.028212719478023115,C,Third,child,False,Unknown,Cherbourg,no,False,2
0,2,male,0.32906373894480023,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,female,0.29856663616956386,1,0,0.019177122834302632,S,Third,woman,False,Unknown,Southampton,no,False,2
0,2,female,0.2528209820067093,0,0,0.028220722145058292,C,Third,woman,False,Unknown,Cherbourg,no,True,1
0,2,male,0.3138151875571821,0,0,0.015468569817999833,S,Third,man,True,Unknown,Southampton,no,True,1
0,1,male,0.43580359865812746,1,0,0.04098927018018883,S,Second,man,True,Unknown,Southampton,no,False,2
0,0,male,0.3595608417200366,0,1,0.4831284260198326,C,First,man,True,B,Cherbourg,no,False,2
0,2,female,0.02409271119243672,4,2,0.06104473451835265,S,Third,child,False,Unknown,Southampton,no,False,7
0,1,male,0.3138151875571821,2,0,0.1434624456306609,S,Second,man,True,Unknown,Southampton,no,False,3
0,2,male,0.4205550472705093,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,1,male,0.48917352851479107,1,0,0.058694292654020104,C,Second,man,True,Unknown,Cherbourg,no,False,2
1,1,female,0.48917352851479107,0,0,0.025374310111545468,S,Second,woman,False,E,Southampton,yes,True,1
0,0,male,0.8170173833485819,0,1,0.15085515328815924,S,First,man,True,D,Southampton,no,False,2
1,2,male,0.1765782250686185,1,0,0.021942337075458514,C,Third,child,False,Unknown,Cherbourg,yes,False,2
0,2,male,0.4205550472705093,0,0,0.015126992566498259,Q,Third,man,True,Unknown,Queenstown,no,True,1
1,2,male,0.3595608417200366,0,0,0.01393967004027879,S,Third,man,True,Unknown,Southampton,yes,True,1
1,2,female,0.4205550472705093,1,1,0.04364049521284362,C,Third,woman,False,F,Cherbourg,yes,False,3
0,2,male,0.6797804208600183,0,0,0.013614293309848433,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.49679780420860015,0,0,0.015411575213749286,C,Third,man,True,Unknown,Cherbourg,no,True,1
0,2,male,0.29856663616956386,0,0,0.013760683560491965,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,female,0.7102775236352546,1,0,0.028302115124416098,S,Third,woman,False,Unknown,Southampton,no,False,2
1,1,female,0.43580359865812746,1,0,0.050748620223090936,S,Second,woman,False,Unknown,Southampton,yes,False,2
0,1,male,0.37480939310765476,0,0,0.025374310111545468,S,Second,man,True,Unknown,Southampton,no,True,1
0,1,male,0.3443122903324184,0,0,0.02936744577509929,C,Second,man,True,Unknown,Cherbourg,no,True,1
1,0,female,0.2833180847819457,0,2,0.051301584996521765,S,First,woman,False,D,Southampton,yes,False,3
0,0,male,0.557792009759073,1,0,0.10364429745562033,S,First,man,True,C,Southampton,no,False,2
0,2,male,0.2375724306190912,0,0,0.01798980030808316,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.3595608417200366,0,0,0.15458810467956932,C,First,man,True,B,Cherbourg,no,True,1
0,2,female,0.4205550472705093,0,2,0.029757819776815374,C,Third,woman,False,Unknown,Cherbourg,no,False,3
1,2,female,0.32906373894480023,0,0,0.015126992566498259,S,Third,woman,False,Unknown,Southampton,yes,True,1
1,2,female,0.3595608417200366,1,0,0.030937139635999665,S,Third,woman,False,Unknown,Southampton,yes,False,2
0,2,male,0.2833180847819457,0,0,0.013175122557917838,Q,Third,man,True,Unknown,Queenstown,no,True,1
0,1,male,0.26806953339432754,0,0,0.022446505098674838,S,Second,man,True,Unknown,Southampton,no,True,1
0,1,male,0.2833180847819457,1,1,0.07173122281533045,S,Second,man,True,Unknown,Southampton,no,False,3
1,2,male,0.4053064958828911,0,0,0.015216388212891242,S,Third,man,True,Unknown,Southampton,yes,True,1
0,2,female,0.13083257090576397,2,2,0.06709553154495196,S,Third,child,False,Unknown,Southampton,no,False,5
0,1,male,0.5501677340652639,0,2,0.050748620223090936,S,Second,man,True,F,Southampton,no,False,3
0,1,male,0.6340347666971639,0,0,0.025374310111545468,S,Second,man,True,Unknown,Southampton,no,True,1
0,1,male,0.7712717291857274,0,0,0.02444717185746977,S,Second,man,True,Unknown,Southampton,no,True,1
1,0,female,0.32906373894480023,1,0,0.12999454257145598,S,First,woman,False,C,Southampton,yes,False,2
0,2,male,0.8398902104300092,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.6111619396157365,0,2,0.028302115124416098,S,Third,man,True,Unknown,Southampton,no,False,3
0,2,male,0.4205550472705093,0,0,0.014273049437744325,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.7712717291857274,0,1,0.11980421963065935,C,First,man,True,Unknown,Cherbourg,no,False,2
1,2,female,0.2375724306190912,0,0,0.015094396337354966,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,2,male,0.4510521500457456,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.016908073949327893,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,8,2,0.13575255909676825,S,Third,man,True,Unknown,Southampton,no,False,11
0,2,male,0.6645318694724002,0,1,0.031425107138144774,S,Third,man,True,Unknown,Southampton,no,False,2
1,1,female,0.6035376639219274,0,0,0.030741952635141623,S,Second,woman,False,Unknown,Southampton,yes,True,1
0,2,male,0.3900579444952729,0,0,0.015175789316712771,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.2528209820067093,0,0,0.016908073949327893,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.008844159804818542,4,1,0.07746484096553544,S,Third,child,False,Unknown,Southampton,no,False,6
1,2,male,0.13083257090576397,0,2,0.04006213192611313,S,Third,child,False,Unknown,Southampton,yes,False,3
1,0,female,0.4205550472705093,0,1,0.10735285047192313,S,First,woman,False,E,Southampton,yes,False,2
0,2,female,0.6797804208600183,1,4,0.05445717323939373,S,Third,woman,False,Unknown,Southampton,no,False,6
0,0,male,0.4205550472705093,0,0,0.050602229972447406,S,First,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.11027245763075773,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.9237572430619092,0,0,0.06538764528744409,S,First,man,True,B,Southampton,no,True,1
0,2,male,0.05458981396767307,4,1,0.05684821399990475,Q,Third,child,False,Unknown,Queenstown,no,False,6
1,2,female,0.008844159804818542,1,1,0.021730754366528396,S,Third,child,False,Unknown,Southampton,yes,False,3
0,2,male,0.3138151875571821,0,0,0.015468569817999833,S,Third,man,True,Unknown,Southampton,no,True,1
0,0,male,0.8475144861238183,0,0,0.05991421140938287,C,First,man,True,A,Cherbourg,no,True,1
0,2,male,0.26806953339432754,1,1,0.015330377421392339,S,Third,man,True,Unknown,Southampton,no,False,3
0,2,male,0.4205550472705093,3,1,0.049707687947515,S,Third,man,True,Unknown,Southampton,no,False,5
0,0,female,0.7560231777981092,0,0,0.05604306762136532,C,First,woman,False,C,Cherbourg,no,True,1
0,1,male,0.4510521500457456,0,0,0.025374310111545468,S,Second,man,True,Unknown,Southampton,no,True,1
0,2,male,0.5425434583714548,0,0,0.0,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,female,0.4205550472705093,8,2,0.13575255909676825,S,Third,woman,False,Unknown,Southampton,no,False,11
0,1,male,0.4205550472705093,0,0,0.02937564362913533,C,Second,man,True,Unknown,Cherbourg,no,True,1
0,2,male,0.13083257090576397,4,2,0.06126431989431795,S,Third,child,False,Unknown,Southampton,no,False,7
1,1,male,0.008844159804818542,2,1,0.07612293033463641,S,Second,child,False,F,Southampton,yes,False,4
1,2,female,0.05458981396767307,0,2,0.04298993693898376,S,Third,child,False,Unknown,Southampton,yes,False,3
0,0,male,0.4205550472705093,0,0,0.09759350042902103,S,First,man,True,A,Southampton,no,True,1
1,2,female,0.4205550472705093,1,0,0.030253985132996517,Q,Third,woman,False,Unknown,Queenstown,yes,False,2
1,0,male,0.6797804208600183,0,0,0.051822148727810165,S,First,man,True,Unknown,Southampton,yes,True,1
0,2,male,0.6035376639219274,1,1,0.030253985132996517,Q,Third,man,True,Unknown,Queenstown,no,False,3
0,2,male,0.5425434583714548,0,0,0.015411575213749286,S,Third,man,True,Unknown,Southampton,no,True,1
1,1,female,0.481549252820982,0,0,0.025374310111545468,S,Second,woman,False,Unknown,Southampton,yes,True,1
0,1,male,0.2833180847819457,0,0,0.025374310111545468,S,Second,man,True,Unknown,Southampton,no,True,1
1,2,female,0.2833180847819457,1,0,0.015330377421392339,S,Third,woman,False,Unknown,Southampton,yes,False,2
1,1,male,0.039341262580054895,1,1,0.050748620223090936,S,Second,child,False,F,Southampton,yes,False,3
1,0,female,0.6645318694724002,0,0,0.05410739813385612,C,First,woman,False,B,Cherbourg,yes,True,1
1,0,female,0.8780115888990546,0,0,0.2859895551532101,C,First,woman,False,B,Cherbourg,yes,True,1
0,2,male,0.4205550472705093,0,0,0.015126992566498259,Q,Third,man,True,Unknown,Queenstown,no,True,1
0,2,male,0.6340347666971639,0,1,0.01640390592611157,S,Third,man,True,Unknown,Southampton,no,False,2
1,2,female,0.4205550472705093,0,0,0.015126992566498259,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
0,1,female,0.3595608417200366,0,0,0.025374310111545468,S,Second,woman,False,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,0,0,0.018542765081513996,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,8,2,0.13575255909676825,S,Third,man,True,Unknown,Southampton,no,False,11
0,2,male,0.5120463555962184,0,0,0.012678957201736696,S,Third,man,True,Unknown,Southampton,no,True,1
0,2,male,0.6874046965538274,0,0,0.014102260811993537,C,Third,man,True,Unknown,Cherbourg,no,True,1
1,2,male,0.26806953339432754,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,yes,True,1
0,2,female,0.02409271119243672,0,1,0.02042143996477265,S,Third,child,False,G,Southampton,no,False,2
0,2,male,0.481549252820982,1,0,0.030937139635999665,S,Third,man,True,Unknown,Southampton,no,False,2
1,2,male,0.3900579444952729,0,0,0.036670757786204655,C,Third,man,True,Unknown,Cherbourg,yes,True,1
1,2,female,0.2375724306190912,0,0,0.015126992566498259,Q,Third,woman,False,Unknown,Queenstown,yes,True,1
1,0,male,0.6035376639219274,0,0,0.060507970265993034,C,First,man,True,A,Cherbourg,yes,True,1
0,2,male,0.3595608417200366,0,0,0.013760683560491965,S,Third,man,True,Unknown,Southampton,no,True,1
1,1,female,0.5272949069838365,0,0,0.04098927018018883,S,Second,woman,False,Unknown,Southampton,yes,True,1
0,2,male,0.32906373894480023,0,0,0.014151057562208049,S,Third,man,True,Unknown,Southampton,no,True,1
0,1,male,0.4510521500457456,0,0,0.025374310111545468,S,Second,man,True,Unknown,Southampton,no,True,1
0,2,male,0.4205550472705093,1,0,0.015126992566498259,Q,Third,man,True,Unknown,Queenstown,no,False,2
1,0,female,0.46630070143336383,1,0,0.22109807522194713,C,First,woman,False,D,Cherbourg,yes,False,2
1,2,female,0.4053064958828911,0,0,0.015468569817999833,S,Third,woman,False,Unknown,Southampton,yes,True,1
0,1,male,0.6340347666971639,1,0,0.05270049023167135,S,Second,man,True,Unknown,Southampton,no,False,2
1,0,female,0.481549252820982,0,0,0.14891148113361488,C,First,woman,False,D,Cherbourg,yes,True,1
0,1,male,0.4510521500457456,0,0,0.020494635090094415,S,Second,man,True,Unknown,Southampton,no,True,1
1,2,male,0.2375724306190912,0,0,0.015712553569072387,S,Third,man,True,Unknown,Southampton,yes,True,1
